Method	Compound	m/z	RT (min)	HMDB ID (*representativeID)	Metabolite	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	QCP02	S21	S22	S23	S24	TA	TB	TC	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	QCP03	T14	T15	T16	T17	T18	T19	T20	T21	QCP04
C18-neg	cmp.QI6916	571.7506	0.63			144258	125092	178048	178762	194492	143932	132713	142849	207481	114206	139528	70929	172353	125996	168348	128514	110445	140482	137994	153261	156223	110278	118437	206846	180201	149438	146006	169415	128258	186845	135078	204111	136708	152949	143552	195930	197994	178899	130133	145136	142522	124458	117173	101930	148262	123350	194191	58670	136939	174135	144236
C18-neg	cmp.QI6917	572.3241	7.90			10721		313686		108236	53696	285119	103583	2556	7580	30	108	38371	112	1316	13257	26923	11018	15691	13502	13810	7032		3307	16512	7979	8944	9341	3071	5138	2873	3788	3332	3651	4393	3699	1827	4279	10748	2560	8993	20832	10316	9341	8954	5734	7683	7839	33932	11597	10804
C18-neg	cmp.QI6918	572.3250	8.08				577	10276		116538	1768		2466		4325	114	659	35772	116		17924	119	4918	13628	1022	4886		3598	1883	15696		715	3831	2145	9832	9018	11040	11924	11968	5110	12430	5268	11946	7520	3045	8877	14919	8388	24926	20752	6181	14937		21021	313	4870
C18-neg	cmp.QI6919	572.4508	19.00			4993	4508	3962	31003	6372	17421	17681	6209	62178	1639	19902	28987	12079	6781	3303	98	27976	10656	14427	1579	4921	9198	21206	6451	8743	3035	2980	3152	1207	1460	494	557	650	1608	2355	998	638	1011	5622	1081	1280	4464	2534	730	637	1875	889	1290	1259	2762	5783
C18-neg	cmp.QI6920	573.1067	1.50					751							8253											5315		366						119						125				5505				145								5123
C18-neg	cmp.QI6921	573.1413	6.65			750		267748	822		1033		348			32399			605						322	13329		699			2011	757					105466				1349			13217				493						115		14563
C18-neg	cmp.QI6922	573.2387	9.51				18								16			48	4		18		1990996			123604		4482257		89	507	32		19									31	122183			21				38	59			143	134198
C18-neg	cmp.QI6923	573.2389	8.02			16826	5644	38386	703		34967	182	13405	40	1564	1106	6143	13576	293	141		7747	2154432	16569		132117	553	4387941	3045	12337	15192	20982	18119	1551	2353	2359	5645	10585	5575	5595	2941	6370	3140	141555	10199	5026	3346	5615	3511	2851	5502	2944	1037	38885	16537	146504
C18-neg	cmp.QI6924	573.2393	8.21			10608	4905	2047		54	4461	626	4905	220				41	186			10110	386323	7988		15459		440646	34	4761	8815	6174	4474		456	289	1254	1529	1020	3600	468	2643	1067	16562	6515	3684	4617	3519	1300	293	312	1161		10510	9736	13003
C18-neg	cmp.QI6925	573.2530	7.12					115			7115		82749	0	25			96615			97906				145187	8940			197				871									12149		7294		167		209	6417		179		50			11622
C18-neg	cmp.QI6926	573.2531	7.04							190	135895		304346		2673			209006			263901			65	32445	17746			48			52	2507	1279		197						583		22179		7644		115	10337	378		117				21884
C18-neg	cmp.QI6927	573.3774	12.17			1876	2562	3123	1898	8518	291	952	4754		238	4484	9161	231	240		818	609		5661		10048		1426	525	406	1333	29256	26613	21376	17370	32832	28170	26462	32856	12703	40506	23925	13970	10081	18471	29703	12318	11001	47887	8496	6282	17012	6906	18492	7338	12097
C18-neg	cmp.QI6928	573.4091	14.10			211611	93108	30560	36236	19228	233787	75692	42952	270090	52922	158890	138155	78998	170684	58181	20882	58938	100864	172657	117871	124517	94652	174774	120301	29688	176076	123497	117073	60156	70142	17870	12507	30801	24283	76369	8691	3740	26372	104885	98243	79805	177744	136627	37313	23891	138194	130267	133903	146317	164030	118207
C18-neg	cmp.QI6929	573.4496	14.89			13339	25895	110125	94787		37382	56290	121627	17041	11606	32761	5549	10787	20594		36866	1777				12278	2689	7678	13268	6743	12635	5087	8284							2400				9702		1510	17347	13305	7977		12923		13660	648	19203	14106
C18-neg	cmp.QI6930	573.4500	14.93			45444	39403	301315	237496	2934	126125	140339	238127	43508	45081	136452	37613	29244	56260	3956	160714	6266		868	11655	49793	9550	29286	49261	26639	53722	15643	31519		1366			1270	870	11230		1220	2015	67413		5792	103576	57098	14415		32510	3843	59070	3120	76752	56751
C18-neg	cmp.QI6931	573.4503	15.10			629029	616561	2558000	1772764	131710	966261	1426178	2097807	539228	400597	884360	288099	280063	525941	115786	1192286	142281		26964	160673	531035	175714	250594	524613	343087	790701	311345	333355	42497	85412	18971		60085	75489	408270	82782	50882	76300	485752	38542	164540	1086118	636959	376669	74062	448672	144334	586763	70966	787753	471612
C18-neg	cmp.QI6932	573.4503	15.85			2435413	5643994	12701934	11624371	1506356	4287015	6740594	2660550	5447138	5919014	8714382	3006689	3036213	8466440	1171830	7846972	2372411	313888	864896	1293497	3920526	1720178	5418662	8791595	3186156	2934854	2939829	5877692	1013229	1046539	802477	250797	1692426	952185	1282562	553761	1171923	2189901	4888204	908018	1760141	6629666	2741099	2099761	950776	2186594	1562591	3856000	1454303	2058711	4791735
C18-neg	cmp.QI6933	573.4503	12.27			3505	40056	6947	48523	3213	37827	10457	5051	37882	14088	98058	1033622	19607	199454	13354		35419	125541	6329	2928	37926	161967	51110	82038	67051	1688	1205		8715	2404		523	182	447	5063				44062	5039	246	23686	1249	3459	780	495	260		6188	28663	43090
C18-neg	cmp.QI6934	573.4504	16.24			231199	285858	726003	514794	240291	229862	580450	114360	208653	419763	495079	129909	110250	527830	12848	1069290	152205	3175	51392	130037	381644	79795	279594	811898	237248	195527	152623	413268	76734	97689	56239	23355	130770	93313	114957	98158	140605	212122	361371	106962	162940	516129	223369	309978	137122	232944	162199	367329	101430	195139	340850
C18-neg	cmp.QI6935	573.4839	15.38			51216	36527	11637		16513	998	15694	70936	20661			16823	2016	8900			35943	2924		1685	40375		32076	29608	31281	28369	35493	19176	36222	39274	32634	42039	34975	31035	23128	51790	36094	39022	34032	40251	31986	12682	18444	32606	24529	24982	12081	43515	6354	40818	39862
C18-neg	cmp.QI6936	573.4897	14.11			549591	113826	57512	83355	46935	471143	120965	161312	546294	101818	264716	224019	121757	353563	105190	52046	170036	153638	284094	163613	185128	148959	257291	211281	59883	499960	242592	166769	133494	116151	37663	29398	56970	50087	107560	26316	21146	48181	166412	197725	136928	427430	272642	85117	60497	301757	226473	297002	186346	376941	172464
C18-neg	cmp.QI6937	573.7551	7.04								70632		154131		472			109935			143240				16941	10105							1081	281										9991		2531			5485			110				9519
C18-neg	cmp.QI6938	574.2353	11.09			79260	78908	69561	28027	98929	54838	85004	53238	112595	43370	68826	48869	30563	105797	73075	17764	44025	11626	125233	95334	122547	119580	176354	76290	61384	119330	113925	170828	129754	104069	114609	62922	60203	84767	72794	63381	49417	50026	129903	210009	100259	109868	95786	155777	157647	118092	70993	308190	239112	173937	130158
C18-neg	cmp.QI6939	574.4489	16.78			4693132	2657648	935755	9559238	2930921	5779057	12478579	6589786	28866023	1547454	12576921	18239249	2960688	7040430	4828872	461166	18390588	5117561	8200400	141570	2821630	5064958	9700477	7238519	8440739	4399902	4347523	2195653	843336	443967	262538	233694	220691	433318	1033663	139611	402915	525266	2839128	1036114	535247	1898546	1028324	591263	348428	990344	405829	2535400	785230	4507469	2732730
C18-neg	cmp.QI6940	574.4491	17.61			207406	96285	19204	690424	132367	279350	674396	264620	2108467	128901	2590379	3405782	376375	811550	546431	28021	3127937	503138	1085343	9744	161953	503918	1251816	752382	860922	240649	240397	118944	31490	16382	9296	6205	9016	17548	49295	5486	15697	22942	160949	40241	15105	71875	34675	20173	10440	31218	14332	134098	32333	246389	156837
C18-neg	cmp.QI6941	574.9331	0.75			4104		62393		85470	23140	20188	9111	29121	18537		10692	110262	2627	144410	184695	2509	8512			42047			26399	2863	1810	55265	179315	121779	44705	59616	72596	57368	114402	54979	111982	89459	154203	63168	50588	12612			30309	15205		69794	98947	4314	20973	47436
C18-neg	cmp.QI6942	575.2380	8.13			41770	11220	30611	2147	175	18984	3797	29252	5787	5398	550	4891	9208	6733	2272		86342	212	70292		16850	161	355	2067	24748	38965	34044	40572	4899	9832	9365	14009	21431	14046	13062	8594	19637	11149	18704	29774	25766	20663	22357	12353	8194	10721	14017	4835	70776	32232	17362
C18-neg	cmp.QI6943	575.4640	15.66			13878	21444	53743	74883	3489	51847	47937	11981	24866	63566	47306	11263	9532	40248	277	62525	19369		1646	11051	20704	4704	22304	35845	27518	12078	10205	19687	2082		324		993	6720	13558		5172	5719	21155	1420	2112	33392	11459	10908	2660	19219	6713	22507	2111	18262	20409
C18-neg	cmp.QI6944	575.4651	15.45			9830	16873	35239	57163	2339	38073	56228	8579	13942	18774	43641	8963	5626	39324		40222	13922		1613	6190	14933	4995	14085	15945	19661	6097	5204	17149						7737	16120		1299	3219	14012		582	29502	8350	5701		12679	934	15544	355	9911	13360
C18-neg	cmp.QI6945	575.4652	15.61			37392	57265	109489	170011	37812	99057	105867	44247	42532	69713	123199	26656	25441	87839	148	141893	38327		4693	22051	49171	11690	58837	133276	82573	33158	18873	32318	913	1451				19949	45663		10657	11387	58420	13655	10423	139718	49228	39820	3483	67312	6513	54824	1243	82767	55540
C18-neg	cmp.QI6946	575.4660	16.25			415095	945374	1072157	1212231	419092	471401	1113382	185156	535287	1201445	785589	195213	173300	686774	15313	1473420	328790	16011	63009	203832	690885	114209	408301	1281797	502636	355892	208399	463034	139832	169930	163255	32382	220129	469445	514588	173023	575394	448111	673128	209829	294069	855026	371836	616949	242075	507778	220921	698566	93263	476491	643851
C18-neg	cmp.QI6947	575.4662	15.85			601613	1185953	1373601	2031507	216212	1103039	1244665	718605	1181317	1203559	1240039	622034	349323	648271	110843	1126178	623543	23675	80839	411215	647516	415207	637207	1293645	885448	801365	592712	1103166	299658	298394	143047	10396	212269	587679	714512	186607	378362	395986	934065	272755	405347	1079587	561373	450472	229701	834337	368195	912804	215595	803817	936580
C18-neg	cmp.QI6948	575.4663	16.11			194420	327077	572070	698547	159800	419671	590439	114247	305533	502943	612290	203855	143206	292501	17210	719917	273611	3924	74233	162755	316909	129425	304225	351444	321018	175680	124676	263134	75820	54358	40014	3727	75651	190719	262729	73142	182196	152705	321104	105837	126443	329386	155857	164866	72746	190278	120231	219667	50507	232420	292706
C18-neg	cmp.QI6949	575.4666	15.56			18710	27144	68429	92837	12382	51387	60985	28536	28120	58948	95636	28152	28506	70317	1273	119595	41527		4079	20885	46484	9432	43507	82923	49605	22079	14114	22534	757	627				4315	9721		1925	6868	29958	1527	10692	47911	22474	35097	5532	27991	5491	44309	2093	47357	40774
C18-neg	cmp.QI6950	576.2015	11.22				4448	798		7069	342	3541	3859	757		1176			2348	2064				1540		9516	156	2742	227	3547	183	4470	184669	4329	417	11293	9435	37341	9971	4833	47672	32608	30388	10705	2409	2242	3717	3105	14544	7970	5871	45549	3007	7325	6076	11851
C18-neg	cmp.QI6951	576.3997	7.65			24631	13046	9569		10396	9671	27185	14599		15321		12132	2399		13580	12598	28225		7770	38856	20405	31110			959	20736	19863	22262	17711	9064	13419	13127	18596	32068	40833	14051	16103	15533	21718	16788	34530	43348	42068	46720	27838	27959	19359	14809	48708	17163	23059
C18-neg	cmp.QI6952	576.7840	0.78			212126	200885	262898	112172	275753	159932	73730	191062	279899	128174		52120	175752	104107	131051	69828	60780	252843	34421	82888	177157	135169	7461	170176	252865	221803	203794	196625	202912	236300	187488	215720	155263	199519	211659	204294	188340	109597	158699	212788	173116	175643	178463	126173	137683	133814	136901	99546	142131	241842	163951
C18-neg	cmp.QI6953	576.8034	0.69			633439	855671	808238	24995	661779	249251	63256	283509	540327	161379	213	9851	276979	48758	203891	76355	23000	601430	22480	57880	333420	133447		151159	333023	652045	568147	675092	575617	604254	371897	543272	342229	658054	938208	504519	357982	291740	363644	593661	466806	769050	526567	282556	353163	409608	334844	582528	532122	815973	351930
C18-neg	cmp.QI6954	576.9855	1.47						17536	2699		45810	4608		31771			19202		19380	2614	26546				17081	31144	1263																15703												18365
C18-neg	cmp.QI6955	577.1334	5.30			182071	5740	36615	18622	25600	32476	50787	8594	111295	2282	27410	64463	27150	67579	14432		13958	46972	11953	1651	52684	18537	68507	109820	49183	196717	70570	45363	44243	36853	18834	14351	23560	46560	47068	43459	32322	42919	51288	30715	44660	85786	68567	52627	50035	100031	51070	47619	31856	55589	50186
C18-neg	cmp.QI6956	577.2347	12.29			40242	64569	89424	105157	42546	69602	104823	54922	86605	9710	68842	36094	88465	56785	65616		72769	95231	61669	3203	56193	51193	92906	68779	75940	41735	31939	19774	11569	21609	1740	17758	3005	8785	12998	4205	5527	6571	72852	46075	20948	35890	27836	4952	29907	20173	19030	16046	41606	50292	64806
C18-neg	cmp.QI6957	577.2533	7.30			26604	39710	18115	10042	25300	244908	9298		28203		17925	52362	46934	4407			8040	4437			32472		4465	25555	40079	23631	83648	137178	6942	68576	76492	7518	1512	16741	180823			16105	31876	49727	7415	12772	17299	21204	970	15985	2547	27616	103925	36909	42745
C18-neg	cmp.QI6958	577.2535	7.38			42739	60548	78185	9781	58871	436068	9372	1677	22046		30431	100877	103911	1907	6932		6529	5633	3040		62654		4618	46973	496881	42563	119420	211477	11156	119170	126907	17153	13415	35989	326057	239	3045	28662	62163	96363	14831	21545	31077	69779	6574	42063	12735	58246	187694	71923	69213
C18-neg	cmp.QI6959	577.2537	8.21			37153	42992	16267	536	518	28098	8189	29259	6595	116		1792		1253	180		7863		1094	120	11522			1199	31797	38956	33130	44872	2487	2937	3835	5364	8385	10437	18550	5376	9539	9632	14671	25559	15736	17705	18214	4455	569	13094	7568	5678	41390	48749	11436
C18-neg	cmp.QI6960	577.3623	10.51			443		84112	54633	41413	80332	33194	44182	4435	86029	140924	7807	114593	15904	145742	650	245710	24750	73034	39958	36773	61974	52176	134837	51072	357	345	982	352	643	158	118	727	1081	3251	702		1566	34366	1258	3614	14032	5866	7897	6432	5265	5173		6548	127	35861
C18-neg	cmp.QI6961	577.3723	15.95			52990	2106191	3740652	20678410	5675170	12958356	3286069	53387	98649	278534	47322	165691	237798	36359	274084	48070	121105	50939	279960	384675	136934	177001	8486	91077	1285	9878	88724	64737	72466	38392	130197	144737	93419	146392	76013	70686	117020	73301	130342	87668	223105	58711	42407	198498	130777	56809	73879	33177	178639	60390	143225
C18-neg	cmp.QI6962	577.3725	13.31				1266	970	1034		61960				14666	1327	16340	79116		102595	7707		321	360	59982	9973	71091		1016			745	298			235	524	580	1862		1493	962	119	11038	163				4943	663				576		9035
C18-neg	cmp.QI6963	577.3726	16.04			3988	21023	25282	54990	19456	30727	3345			116960	17432	82366	98458	9654	117632	12569	44578	7222	93203	124772	34137	33534		16098	5	1	11835	10269	16317	2575	44586	49846	24907	51585	17387	19021	47047	14674	35425	13103	56346	5319	2767	49193	29772	11074	6986	3095	39910	5790	30372
C18-neg	cmp.QI6964	577.4215	13.44			42827	62147	6671	21845	141078	160982	552114	57107	9777	26714	140990	2395874	458918	23791	86103	124736	22246	462	49523	2550027	756991	331306	10685	544025	73795	33348	1020034	872988	105461	117578	598364	478223	805112	1479091	1129603	1925639	605397	1069448	768534	494366	4813645	545253	240587	2404701	204319	495297	775191	45305	1305385	1979919	726748
C18-neg	cmp.QI6965	577.4815	15.86			28079	61159	62045	118693	8916	60710	69594	16689	50562	97795	98874	39001	16503	17827	466	34478	52177			5859	36853	10333	36215	79840	66787	32408	21920	67144	12507	2830	1935		8817	102377	112014	11183	30961	19794	68379	8934	5860	41303	8145	15186	10318	20618	14338	63914	3238	11457	57072
C18-neg	cmp.QI6966	577.4817	16.24			53826	104254	91869	122923	61277	80141	140444	29320	72207	84437	103286	28565	30694	52580		136378	56748	152	5097	50830	83667	23916	44414	202730	76595	41557	19742	40420	10725	10210	3226	305	11683	116096	146873	21322	45685	38199	83314	22342	24170	82033	35625	66538	31148	64323	15650	87387	4686	49655	78193
C18-neg	cmp.QI6967	577.4820	16.18			6725	12951	18016	21368	5417	10845	14155	2410	15928	25688	28265	4466	4900	16276		42330	13410			2668	12881	1672	20457	23395	31193	8969	5605	8505	3035	938	154		295	22930	21012	3707	8338	4769	10772	2570	1371	9531	4417	5144	2012	4198	1439	22077		5823	14084
C18-neg	cmp.QI6968	577.7069	0.62			224257	151076	259974	248333	277597	416018	190965	217166	270688	192478	230400	180558	240852	185359	259069	123042	194466	187362	224992	231914	242004	158712	241334	279018	181698	212683	167025	198457	129940	196287	178227	187769	181074	198264	264078	198929	217670	230056	220600	205348	199435	268058	241844	182991	214699	269547	280163	17176	180645	207020	224889
C18-neg	cmp.QI6969	578.1781	11.09			39779	35048	30460	10497	39665	20441	34520	17879	37962	24478	40648	24447	15543	53018	33349	6001	22275	5815	67557	49820	65487	68345	104554	43549	31162	62835	61269	86629	67287	54347	58315	28017	31739	40716	37939	32715	20879	26043	66601	110391	49138	49708	41950	68390	74158	51130	32217	154552	129717	90117	71723
C18-neg	cmp.QI6970	578.2164	12.10			13443	14146	15159		22882	2646	1662	16818	5568	1089	1679				1334	1017		1275	9325	3948	24760	578			2642	24201	21552	94415	22078	9389	39303	37109	15123	26628	38257	120658	67382	25196	20060	23449	9230	23275	18170	39797	20107	16300	18078	63712	30916	32301	24698
C18-neg	cmp.QI6971	578.2168	12.25			5584	4881	3467				981		500		27		83		501	198	66	107	1262		7304		206		81	11904	9201	14557	14795	11857	17197	8984	5515	8535	6861	9071	2582	2072	8136	15377	11920	15367	8002	10023	11602	13665	3160	32621	4834	16589	6498
C18-neg	cmp.QI6972	578.3246	11.39			116511	75214	200145	122514	37049	121610	23279	71582	4162	114759	183247	90706	171385	138832	86281	125575	160280	2419	22312	124388	124081	171370	6425	57104	34500	110812	145008	278281	129847	121739	97590	164372	74149	98357	94670	113296	109139	83019	140528	145813	166051	266966	220905	254078	233874	221440	178277	73063	33373	123884	126166
C18-neg	cmp.QI6973	579.1882	6.06			1332390	80	35	2652	52	57	53	23	295	27556	770	567		1261	17		126	91	26	488	143630	5	460	1489	17819	1307370	1039375	361453	5192	586	29	3110	115517	6514	1975	601	145247	424845	130859	253847	58197	7695	163	459	37	742	341	1545	891	1350653	127270
C18-neg	cmp.QI6974	579.2504	12.10			120231	111913	128976	139416	109135	130365	138702	140025	129015	136997	130478	119299	128564	115418	139099	175	100853	138907	109335	79760	112333	128358	155661	145746	133924	116164	117050	106227	115854	109961	108566	107429	101597	96793	94146	98634	100494	109093	126317	121202	126235	105025	104821	94844	117494	102537	125388	90919	112658	109731	136592
C18-neg	cmp.QI6975	579.2505	12.03			63225	63319	42857	44480	51506	31954	35070	46135	72196	34039	39102	32982	34032	20634	28815	573	31139	65658	57302	50506	45420	51190	29618	35894	53227	55433	55029	29794	44479	47912	47333	58419	51802	49951	38434	41939	48215	51983	35155	48881	53603	47274	45983	38781	41954	36194	38541	45865	61705	53768	36028
C18-neg	cmp.QI6976	579.2505	11.39			120670	79424	125399	148649	102348	148235	154038	103244	150812	92484	141166	139167	137632	120719	130522	1	118720	101270	75415	33207	119669	86361	158865	140661	143226	122774	116617	109803	88108	82178	45691	68495	55696	55319	75061	57569	74403	75394	121072	97562	84117	92817	92750	68024	107347	110336	110520	70035	89094	108224	117388
C18-neg	cmp.QI6977	579.2691	7.55			233633	698926	72606	17186	141490	1136438	125555	17077	387361	1161	18165	150955	15137	53842	3276		94411	2551	8991	1046	145541	3324	24755	58624	322683	248216	354363	524603	55199	122296	114838	30836	28491	127659	664187	22347	26973	77296	132815	204468	53496	42511	86803	107981	26372	70142	25875	299129	176859	264555	149484
C18-neg	cmp.QI6978	579.3269	7.36			687	4775	17518	11065	2017	354	20480	3202	1795	29224	42807	376	36373	630	60179	53395	980	11326	3292	31077	7029	1066	467	10238	6407	400	4074	169	274	145	9800	4859	4515	2894	300	2749	1149		9843		682	332	184	9648	5595	462	1934		115	367	9306
C18-neg	cmp.QI6979	579.4376	14.02			9335	1822	28723	960	12468	6224	2604	88059	11238	39270	14051	7483	14165	7326	42098	5809	89964	9599	19585	37839	26646	69027		20797	4100	7065	7607	19084	12733	17949	13103	11182	25924	27347	52621	28752	16394	10875	27258	24364	12022	6856	4724	22336	21336	36339	11220	8665	6880	15612	29568
C18-neg	cmp.QI6980	579.4584	13.66			4164	715	16120		1114	65218	5288	46578	114271		70929	50078	4180	9750	2866		50194	9184	3428	446	32829	380699	14667	1637	5140	6636	6014	4965	799		615	3232		11972	31045	6098	982	1030	28829	8153		18273	3957	5511	1114	9387	5832	8788	253	17761	22234
C18-neg	cmp.QI6981	579.4971	13.49			23384	9330	598		1791	2765	59732	4092			4099	81528		183157			80482				45242	4316	1173	23827	6945	22025	61057	78852	50541	14371	9859	20691	16858	40040	58871	20419	14678	40695	53191	58651	96281	47919	21853	88547	18894	20744	35306	11078	4954	98388	44618
C18-neg	cmp.QI6982	579.4972	17.99			13023	2521	729	1029	12117	602	976	1543	2531	2288	871	1230	1304	88	96	509	3723	411	1006	2727	13100	2533	659	2765	1014	13093	3011	712	959	8859	4279	7150	6389	33762	47525	4181	2715	6612	11918	4559	6759	23099	19601	3219	1794	28033	2312	15863	361	21640	10661
C18-neg	cmp.QI6983	579.4973	14.23			88455	16022	15171		29945	1605	27511	60401	5312		16481	13339		28254			44289	337			16561	18526	41155	12107	53301	64088	58573	20806	25564	3338	3928	2731	6622	15900	45269	938	9300	11741	16927	23421	7188	41431	32773	20807	5564	7905	8156	26256		66665	17244
C18-neg	cmp.QI6984	579.4975	17.52			19578	4122	5853	6449	35980	3485	3196	17790	2312	23254	5593	12635	6033	898	2732	4296	47636	1783	2292	23232	29732	19496	2571	10196	4974	19324	8863	6225	6979	21719	24375	29773	31471	105612	98205	50634	15294	22021	29274	19307	29501	27559	38311	28374	15736	103192	25093	19370	7407	32202	24582
C18-neg	cmp.QI6985	579.7379	0.63			129795	131660	129390	105118	98472	74044	63682	164851	109593	17190	40304	47811	47460	81618	45553	72077	27086	68133	4826	7792	82350	95505	56964	34293	127101	112362	106811	94514	102512	72331	89076	93386	79947	98369	128747	90203	90662	80368	62557	126006	77642	65262	68293	81318	103570	60514	95947	39513	54063	102523	53809
C18-neg	cmp.QI6986	580.2327	13.14			21798	29305	26797	3777	13818	8312	9798	854	17716	6914	3260	1976	8064	7895	21999	5969	9564	10884	52016	13030	18990	13932	3587	6400	4245	16215	24495	69005	29723	25990	26750	22148	27992	18305	17369	49369	27050	24856	16644	32355	19447	25494	13080	36621	28730	13217	27319	46708	29588	19599	15500
C18-neg	cmp.QI6987	580.3260	11.22			53263		21329	25443	73862	2929		236	4119	36892	5210	48854		189451	31	676	20073		7666	1293	18463	9454	121576	146939	143	41710	6770	2318	10378	10701			1158			2090	8052	393	21254			209	8224	8326	3113	2859	4062	41609		13012	21073
C18-neg	cmp.QI6988	581.1646	6.13			610	2019	97036	106183	23703	92168	58931	19492	2494	19042	148705	219509	54942	6682	86086		49072	140160	83078	2225	56261	20551	1007	196221	2436	3129	25083	9739	55403	21464	41596	21347	56474	42337	21708	93891	101909	21457	45181	17066	41410	8890	14821	31351	105088	5142	51975	52591	102616	4040	52817
C18-neg	cmp.QI6989	581.2385	9.64			1594	13918		51759	38433	2495	7654	40704	1613	211384	222540	165464	171988	78753	136981	70591	251333	21373	210988	187678	87091	153635	14367	49333	61852	2105	59303	31174	33216	18445	77802	53720	81897	69560	31451	47100	67335	35660	81587	14773	42098	2029	13262	86150	60827	14628	43652	7934	53093	2909	80772
C18-neg	cmp.QI6990	581.2386	9.26			93926	126628	28872	579347	53830	111063	184349	130076	94616	218284	557137	119503	389524	400077	383488	274495	323545	278967	494335	403427	189586	338383	102308	128895	74813	94463	108400	73598	119003	57217	56778	95634	47897	77380	84598	84101	65894	43063	181275	56065	48137	39250	54605	77032	128133	55035	72428	130681	105444	54722	185086
C18-neg	cmp.QI6991	581.2387	9.70			4130	16537	1449	79837	34453	11679	21214	81458	4522	191508	172849	106504	202619	73245	116113	113523	244398	61737	219321	265204	83801	138230	11578	99066	46510	7724	37476	16658	28493	13728	48543	32692	45485	43135	28786	41505	50535	23633	81707	14453	23922	4576	14634	62244	64155	16552	30671	6328	37218	4883	82424
C18-neg	cmp.QI6992	581.2766	6.85			1775		2771		9200	187368	3897	22717	260	596	214	1206	3008		1710		196		2830	664	5719	2036	1526	1546	783	2313	450	1725	922	1936	5966	254	3230	3532	3760	1950	1337	670	7935	1596	4438	6184	7071	17523	7410	4340	3682	4971	42540	411	6841
C18-neg	cmp.QI6993	581.3310	7.12			1316		567	755	147	2594	2193	786	41617	2722	1709	3333	395328	936	1449	258	2393		273490	506	21630	483		257	1455	1702	505	1473	2043	140	253	118	1118	652	608	268	794	1576	23000	2302	2154	1877	9380	5947	1001	2024	2545	1054	173942	1958	23172
C18-neg	cmp.QI6994	581.3706	0.63			125490	62890	171395	64211	174259	240496	92686	100364	147242	57010	64075	29352	67096	39444	60516	44363	61825	96359	53429	92342	65883	31804	83820	124922	63291	68241	56889	93820	72445	124674	67277	103155	70637	86098	87578	106830	106616	105488	103501	82984	88329	79386	48689	55228	106714	75206	153148		74931	87202	62863
C18-neg	cmp.QI6995	581.4526	14.18			8339194	6060351	5113149	1177586	11318379	2128662	4091867	9733718	1453673	1490887	3011076	6736302	3579881	1678544	4242947	3190771	1454497	577737	1077109	4931412	7817687	2482591	2231738	8330226	7328095	6501826	6470040	6040379	4429316	7256595	6508744	8518868	7653601	11350337	11543385	10279336	6944624	7259087	7928110	9699498	11505091	8648962	8119922	9727059	6485455	10594672	3728189	7745720	4169094	9326066	7570424
C18-neg	cmp.QI6996	581.4528	14.71				511			107147		275	2509									1326			225	16791		340	15188	17831		255	256	2353	9469	1150	18514	3584	68484	131331	11921	2502	10252	14483	71429	70020	109655	49932	62927	680	104893		3045		5438	17201
C18-neg	cmp.QI6997	581.4551	12.09			66700	50434	64831	59291	56987	62499	64276	69914	60169	74622	72940	68922	69853	56433	70248		41754	66993	58245	42905	64056	67338	78583	70576	68726	56214	53635	60482	60319	51700	61603	60764	58900	51967	55770	64972	51452	63407	73371	54259	60364	68321	63240	62044	72024	67455	77697	47826	57479	61195	61020
C18-neg	cmp.QI6998	581.4765	13.56			9581	61105	48852		1016	4353	961	5	3085		5287	18396	4416	9341	832		800	170			33948		1411	8829	12032	25485	25054	24784	3516	6469	7741	4557	1442	3484	19360	9660	1944	603	32624	21757	21741	66809	42110	12743	8061	62125	6503	29590	38011	43445	33000
C18-neg	cmp.QI6999	581.4765	13.70				57050	70322		16343		1600					53325	8582	2959	5144	1866				27076	41223	2545		19508	34646	5078	10723	3566	2423	4799	4911	11595	2975	9500	12032	43712	7383	1362	38974	16567	45133	26421	15193	69119	21343	33425		10555	5466	22047	40228
C18-neg	cmp.QI7000	581.5126	18.22			40806	11589	7437	263	104534	1824	2144	33578	10412	13566	593	4401	5478	668	5725	24	39580	3711	1806	25963	93608	15698	743	25896	7629	40559	21225	8440	15071	84963	67301	89541	95623	202414	191722	96588	40859	70927	91979	47052	66466	88210	101101	53567	29850	148766	52666	61645	10110	54412	81927
C18-neg	cmp.QI7001	583.1803	6.38			851461	74664	30713	145	73124	6666	133643	596586	516360	7063	1935	4365	2510	328967	25196		33233	424	3723	1099	165668	2578	2271	471998	205943	808851	289822	213877	139967	146330	21860	39259	35489	125963	159056	103087	60631	168120	177955	115528	142695	341591	287700	224156	44245	388140	128119	203163	80855	349596	178197
C18-neg	cmp.QI7002	583.1803	5.91			271452	59786	24035	6492	27176	41376	150734	288203	352856	26387	69322	125113	6123	176626	38381		61218	33155	14794	1291	83798	7262	902	129315	146486	252748	192811	118700	59476	37824	25651	26085	31784	50160	52409	37142	28100	68759	79335	53089	44074	76507	82608	41617	31261	80077	37542	62924	47554	129393	81250
